id,Namn,Klubb,Position,Pris
100.0,Bénie Traore,BK Häcken,Mittfältare,7.5
101.0,Nahom Girmai Netabay,Kalmar FF,Mittfältare,5.5
102.0,Jesper Löfgren,Djurgården,Försvarare,6.0
103.0,Erdal Rakip,Malmö FF,Mittfältare,5.5
104.0,Elias Andersson,Djurgården,Mittfältare,6.0
105.0,Karl Holmberg,Djurgården,Anfallare,7.5
106.0,Viktor Gustafson,Mjällby AIF,Mittfältare,4.5
107.0,Sean Sabetkar,Degerfors IF,Försvarare,4.5
108.0,David Löfquist,Mjällby AIF,Mittfältare,5.5
109.0,Ari Freyr Skulason,IFK Norrköping,Mittfältare,5.5
110.0,Mamudu Moro,Mjällby AIF,Anfallare,5.0
111.0,Joel Asoro,Djurgården,Mittfältare,6.0
112.0,Adam Hellborg,IK Sirius,Mittfältare,5.0
113.0,Simon Karlsson Adjei,Varbergs BoIS,Anfallare,5.0
114.0,Tim Björkström,IK Sirius,Försvarare,4.5
115.0,Johan Hammar,BK Häcken,Försvarare,5.0
116.0,Luke Le Roux,Varbergs BoIS,Mittfältare,4.5
117.0,Alexander Bernhardsson,IF Elfsborg,Mittfältare,6.0
118.0,Kristoffer Nordfeldt,AIK,Målvakt,6.0
119.0,Richard Magyar,Hammarby,Försvarare,5.5
120.0,Dennis Collander,Hammarby,Mittfältare,5.0
121.0,Erik Lindell,Degerfors IF,Försvarare,4.5
122.0,Jacob Ondrejka,IF Elfsborg,Mittfältare,7.0
123.0,Axel Lindahl,Kalmar FF,Försvarare,5.0
124.0,Simon Thern,IFK Göteborg,Mittfältare,6.0
125.0,Tobias Carlsson,BK Häcken,Försvarare,4.5
126.0,Robin Tranberg,Varbergs BoIS,Mittfältare,5.0
127.0,Gustav Svensson,IFK Göteborg,Mittfältare,5.0
128.0,Anton Kralj,Degerfors IF,Försvarare,4.5
129.0,Kristoffer Lund,BK Häcken,Försvarare,5.5
130.0,Abbe Khalili,Hammarby,Mittfältare,6.5
131.0,Jamie Roche,IK Sirius,Mittfältare,4.5
132.0,Robin Simovic,Varbergs BoIS,Anfallare,5.5
133.0,Aleksandr Vasyutin,Djurgården,Målvakt,5.5
134.0,Christoffer Nyman,IFK Norrköping,Anfallare,9.5
135.0,Alfie Whiteman,Degerfors IF,Målvakt,4.5
136.0,Emmanuel Banda,Djurgården,Mittfältare,5.5
137.0,Victor Karlsson,Varbergs BoIS,Mittfältare,4.5
138.0,Andreas Blomqvist,Mjällby AIF,Mittfältare,5.0
139.0,Saku Ylätupa,GIF Sundsvall,Mittfältare,5.5
140.0,Sebastian Eriksson,IFK Göteborg,Mittfältare,5.0
141.0,Kevin Yakob,IFK Göteborg,Mittfältare,5.0
142.0,Felix Beijmo,Malmö FF,Försvarare,6.0
143.0,Maic Sema,IFK Norrköping,Mittfältare,5.5
144.0,Samuel Brolin,Mjällby AIF,Målvakt,5.0
145.0,Gustaf Norlin,IFK Göteborg,Mittfältare,5.5
146.0,Alexander Johansson,Varbergs BoIS,Anfallare,5.0
147.0,Jonas Knudsen,Malmö FF,Försvarare,6.0
148.0,Williot Swedberg,Hammarby,Mittfältare,5.5
149.0,Patrick Nwadike,IK Sirius,Försvarare,4.5
150.0,Edi Sylisufaj,IK Sirius,Anfallare,6.0
151.0,Oscar Vilhelmsson,IFK Göteborg,Anfallare,6.0
152.0,Alexander Faltsetas,BK Häcken,Mittfältare,4.5
153.0,Erik Friberg,BK Häcken,Mittfältare,5.0
154.0,Kristoffer Khazeni,IFK Norrköping,Mittfältare,5.0
155.0,Filip Sachpekidis,Kalmar FF,Mittfältare,5.5
156.0,Hampus Zackrisson,Varbergs BoIS,Försvarare,4.5
157.0,Ronald Mukiibi,Degerfors IF,Försvarare,4.5
158.0,Yukiya Sugita,IK Sirius,Mittfältare,6.5
159.0,Albin Winbo,Varbergs BoIS,Mittfältare,4.5
160.0,Oliver Dovin,Hammarby,Målvakt,5.0
161.0,Johan Karlsson,IK Sirius,Försvarare,4.5
162.0,Filip Rogic,IK Sirius,Mittfältare,6.0
163.0,Erik Ring,AIK,Mittfältare,5.0
164.0,Gideon Mensah,Varbergs BoIS,Försvarare,4.0
165.0,Niklas Moisander,Malmö FF,Försvarare,6.0
166.0,Enoch Kofi Adu,Mjällby AIF,Mittfältare,4.5
167.0,Gustav Granath,Degerfors IF,Försvarare,4.5
168.0,Abdul Malik Abubakari,Malmö FF,Anfallare,6.5
169.0,Johan Stenmark,Kalmar FF,Försvarare,4.5
170.0,Sebastian Nanasi,Malmö FF,Mittfältare,6.0
171.0,August Ahlin,IK Sirius,Målvakt,4.0
172.0,Jon Birkfeldt,Varbergs BoIS,Försvarare,4.5
173.0,Sergio Peña,Malmö FF,Mittfältare,7.5
174.0,Karl Larson,IK Sirius,Försvarare,4.0
175.0,Hákon Rafn Valdimarsson,IF Elfsborg,Målvakt,4.5
176.0,Noah Shamoun,Kalmar FF,Mittfältare,4.5
177.0,Nikola Djurdjic,Degerfors IF,Anfallare,6.0
178.0,Tom Strannegård,AIK,Mittfältare,4.5
179.0,Oliver Alfonsi,Varbergs BoIS,Mittfältare,4.5
180.0,Sveinn Aron Gudjohnsen,IF Elfsborg,Anfallare,6.5
181.0,Jasse Tuominen,BK Häcken,Anfallare,5.5
182.0,Christopher Telo,IFK Norrköping,Försvarare,5.0
183.0,Magnus Wörts,Mjällby AIF,Försvarare,4.5
184.0,Oscar Lewicki,Malmö FF,Mittfältare,5.0
185.0,Kevin Wright,IK Sirius,Försvarare,5.0
186.0,Romain Gall,Malmö FF,Mittfältare,5.0
187.0,Philip Mårtensson,Varbergs BoIS,Målvakt,4.0
188.0,Jeffrey Gal,Degerfors IF,Målvakt,4.0
189.0,Albin Mörfelt,Mjällby AIF,Mittfältare,5.5
190.0,Ali Youssef,BK Häcken,Mittfältare,5.5
191.0,Oskar Sverrisson,Varbergs BoIS,Försvarare,4.5
192.0,Ola Toivonen,Malmö FF,Anfallare,8.0
193.0,Oliver Zandén,IF Elfsborg,Försvarare,5.0
194.0,Yasin Ayari,AIK,Mittfältare,5.0
195.0,Erik Israelsson,Kalmar FF,Mittfältare,5.0
196.0,Bernardo Vilar Estevão Jeronimo,IFK Göteborg,Försvarare,4.5
197.0,Justin Salmon,Degerfors IF,Mittfältare,4.5
198.0,Ahmed Qasem,IF Elfsborg,Mittfältare,4.5
199.0,Theodore Rask,IFK Norrköping,Försvarare,4.5
200.0,Elias Olsson,Kalmar FF,Försvarare,4.5
201.0,Victor Backman,Kalmar FF,Mittfältare,4.5
202.0,Des Kunst,Varbergs BoIS,Mittfältare,5.0
203.0,Mayckel Lahdo,Hammarby,Mittfältare,5.5
204.0,Adam Ingi Benediktsson,IFK Göteborg,Målvakt,4.0
205.0,André Boman,Varbergs BoIS,Mittfältare,4.5
206.0,Noah Persson,Mjällby AIF,Försvarare,4.5
207.0,Tommy Vaiho,IK Sirius,Målvakt,5.0
208.0,Herman Sjögrell,IK Sirius,Mittfältare,4.5
209.0,Valgeir Lunddal Fridriksson,BK Häcken,Försvarare,4.5
210.0,Lucas Lima,IFK Norrköping,Anfallare,5.0
211.0,Herman Johansson,Mjällby AIF,Försvarare,4.5
212.0,Sam Johnson,Mjällby AIF,Anfallare,5.0
213.0,Franklin Tebo,BK Häcken,Försvarare,5.0
214.0,Adhavan Rajamohan,Degerfors IF,Mittfältare,4.5
215.0,Albion Ademi,Djurgården,Mittfältare,6.5
216.0,Per Karlsson,AIK,Försvarare,5.5
217.0,Samir Maarouf,BK Häcken,Mittfältare,4.5
218.0,Leo Cornic,Djurgården,Försvarare,5.0
219.0,Filip Ambroz,IFK Göteborg,Mittfältare,4.5
220.0,Emmanuel Boateng,IF Elfsborg,Mittfältare,5.0
221.0,Jack Cooper Love,IF Elfsborg,Anfallare,4.5
222.0,Isak Hien,Djurgården,Försvarare,5.0
223.0,Yahav Gurfinkel,IFK Norrköping,Mittfältare,4.5
224.0,Taylor Silverholt,Mjällby AIF,Anfallare,4.5
225.0,Loue Bayere Junior,Hammarby,Anfallare,4.5
226.0,Noah Söderberg,IF Elfsborg,Mittfältare,4.5
227.0,Adam Petersson,Mjällby AIF,Mittfältare,4.5
228.0,Markus Björkqvist,Malmö FF,Mittfältare,4.5
229.0,Samuel Gustafson,BK Häcken,Mittfältare,5.5
230.0,Jetmir Haliti,AIK,Försvarare,5.5
231.0,Davor Blazevic,Hammarby,Målvakt,4.5
232.0,Dino Salihovic,IFK Norrköping,Försvarare,4.0
233.0,Lukas Rhöse,Kalmar FF,Försvarare,4.0
234.0,Noah Eile,Mjällby AIF,Försvarare,4.5
235.0,Josip Filipovic,Mjällby AIF,Försvarare,4.0
236.0,Aron Bjarnason,IK Sirius,Mittfältare,5.0
237.0,Montader Madjed,Varbergs BoIS,Mittfältare,4.5
238.0,Taha Ali,Helsingborgs IF,Mittfältare,6.0
239.0,Gustaf Lagerbielke,IF Elfsborg,Försvarare,4.5
240.0,Sebastian Lagerlund,BK Häcken,Försvarare,4.0
241.0,Egzon Binaku,IFK Norrköping,Försvarare,4.5
242.0,Edvin Tellgren,IFK Norrköping,Försvarare,4.0
243.0,Jóhannes Kristinn Bjarnason,IFK Norrköping,Mittfältare,4.5
244.0,Emanuel Chabo,IFK Norrköping,Mittfältare,4.5
245.0,Johan Arvidsson,Kalmar FF,Mittfältare,4.5
246.0,Rasmus Cronvall,Varbergs BoIS,Anfallare,4.5
247.0,Otto Rosengren,Mjällby AIF,Mittfältare,4.5
248.0,Jakob Andersson,Degerfors IF,Mittfältare,4.5
249.0,Daniel Krezic,Degerfors IF,Mittfältare,5.0
250.0,Matej Chalus,Malmö FF,Försvarare,6.5
251.0,Dennis Hadzikadunic,Malmö FF,Försvarare,6.5
252.0,David Edvardsson,Malmö FF,Mittfältare,4.5
253.0,Patriot Sejdiu,Malmö FF,Mittfältare,4.5
254.0,Amel Mujanic,Malmö FF,Mittfältare,4.5
255.0,Samuel Adrian,Malmö FF,Mittfältare,4.5
256.0,Hugo Larsson,Malmö FF,Mittfältare,5.0
257.0,Isaac Kiese Thelin,Malmö FF,Anfallare,10.5
258.0,Sebastian Selin,Hammarby,Målvakt,4.0
259.0,Kalle Björklund,Hammarby,Försvarare,4.0
260.0,Loret Sadiku,Hammarby,Mittfältare,5.0
261.0,Jusef Erabi,Hammarby,Anfallare,5.0
262.0,Andreas Murbeck,IK Sirius,Försvarare,4.5
263.0,Kristopher Da Graca,IK Sirius,Försvarare,4.5
264.0,Filip Olsson,IK Sirius,Mittfältare,5.0
265.0,Warner Hahn,IFK Göteborg,Målvakt,5.0
266.0,Gustav Lillienberg,IFK Göteborg,Målvakt,4.0
267.0,Emil Salomonsson,IFK Göteborg,Försvarare,6.0
268.0,Hussein Carneil,IFK Göteborg,Mittfältare,4.5
269.0,Lucas Kåhed,IFK Göteborg,Anfallare,4.5
270.0,Patrik Karlsson-Lagemyr,IFK Göteborg,Anfallare,6.0
271.0,Erik Sorga,IFK Göteborg,Anfallare,5.5
272.0,Alfons Nygaard,IFK Göteborg,Anfallare,4.5
