id,Säsong,Totalpoäng,Spelade minuter,Gjorda mål,Assists,Hållna nollor,Insläppta mål,Räddade straffar,Missade straffar,Gula kort,Röda kort,Räddningar,Självmål,Offensiva bonuspoäng,Defensiva bonuspoäng
120,2021,57,1420,2,1,4,29,0,0,2,0,0,0,0,4
121,2021,56,1534,0,2,2,29,0,0,2,0,0,0,7,6
122,2021,55,781,3,1,1,15,0,0,0,0,0,0,2,1
123,2021,55,805,1,1,5,12,0,0,2,0,0,0,2,6
124,2021,54,1196,1,2,5,17,0,0,2,0,0,0,4,4
125,2021,54,1707,0,0,4,32,0,0,6,0,0,1,0,18
126,2021,53,1416,1,0,6,16,0,0,8,0,0,0,1,8
127,2021,52,1661,0,0,6,27,0,0,2,0,0,0,0,10
128,2021,52,1328,0,1,4,25,0,0,1,0,0,0,1,8
129,2021,51,1267,0,2,3,23,0,0,2,0,0,0,2,12
130,2021,50,837,4,2,1,16,0,0,4,0,0,0,3,3
131,2021,50,1304,0,1,1,31,0,0,2,0,0,0,1,17
132,2021,49,1341,3,0,4,24,0,0,5,0,0,0,4,1
133,2021,48,835,0,0,5,5,0,0,0,0,17,0,0,8
134,2021,48,868,5,0,1,13,0,1,1,0,0,0,2,0
135,2021,48,1170,0,0,1,24,0,0,1,0,44,0,0,18
136,2021,47,683,4,0,0,11,0,0,2,0,0,0,1,2
137,2021,46,588,2,3,1,10,0,0,1,0,0,0,4,0
138,2021,46,1067,0,1,2,13,0,0,1,0,0,0,3,3
139,2021,46,796,1,4,3,10,0,0,2,0,0,0,8,0
140,2021,45,1145,1,1,3,18,0,0,5,0,0,0,1,11
141,2021,45,918,2,1,3,11,0,0,2,0,0,0,0,2
142,2021,44,975,0,2,3,11,0,0,1,0,0,0,0,6
143,2021,44,619,2,1,1,12,0,0,0,0,0,0,2,0
144,2021,44,900,0,0,2,13,0,0,0,0,36,0,0,12
145,2021,42,989,0,1,4,12,0,0,1,0,0,0,4,0
146,2021,42,599,3,3,0,11,0,0,3,0,0,0,2,1
147,2021,41,1039,1,1,1,16,0,0,2,0,0,0,3,8
148,2021,41,747,2,2,2,14,0,0,2,0,0,0,2,0
149,2021,41,812,0,0,3,14,0,0,0,0,0,0,0,14
150,2021,41,563,3,3,0,14,0,0,2,0,0,0,1,0
151,2021,41,776,2,2,4,10,0,0,0,0,0,0,2,0
152,2021,41,1445,0,1,2,27,0,0,8,0,0,0,0,8
153,2021,41,1014,0,2,3,12,0,0,6,0,0,0,5,9
154,2021,40,888,1,2,1,10,0,0,2,0,0,0,3,0
155,2021,39,939,0,2,5,10,0,0,2,0,0,0,2,0
156,2021,39,1469,0,0,3,25,0,0,7,0,0,0,0,7
157,2021,39,575,2,0,2,7,0,0,0,0,0,0,1,5
158,2021,38,1128,0,0,5,16,0,0,2,0,0,0,7,0
159,2021,38,920,1,0,2,19,0,0,8,0,0,0,0,7
160,2021,37,703,0,0,2,10,0,0,0,0,28,0,0,9
161,2021,37,682,1,1,0,16,0,0,1,0,0,0,2,4
162,2021,36,766,2,0,2,7,0,0,1,0,0,0,1,2
163,2021,36,813,0,3,4,10,0,0,1,0,0,0,3,0
164,2021,36,1119,0,0,2,11,0,0,7,0,0,0,1,7
165,2021,35,607,0,0,4,3,0,0,1,0,0,0,0,6
166,2021,35,905,0,0,3,15,0,0,1,1,0,0,1,5
167,2021,35,1033,0,1,2,21,0,0,1,0,0,1,0,6
168,2021,34,537,3,1,2,6,0,0,4,0,0,0,1,1
169,2021,34,732,1,0,2,17,0,0,2,0,0,0,0,4
170,2021,33,582,1,1,2,5,0,0,0,0,0,0,2,3
171,2021,33,810,0,0,1,20,0,0,1,0,34,0,0,11
172,2021,32,867,0,0,2,16,0,0,1,0,0,0,0,7
173,2021,30,581,0,0,4,5,0,0,4,0,0,0,4,10
174,2021,30,421,0,1,1,8,0,0,0,0,0,0,1,0
175,2021,29,450,0,0,3,4,0,0,0,0,14,0,0,5
176,2021,29,645,0,0,4,7,0,0,1,0,0,0,0,1
177,2021,29,724,2,1,1,16,0,0,3,0,0,0,1,0
178,2021,27,352,1,1,2,3,0,0,1,0,0,0,0,1
179,2021,27,466,1,1,2,5,0,0,3,0,0,0,0,0
180,2021,26,147,3,1,1,4,0,0,1,1,0,0,0,0
181,2021,26,625,1,0,1,14,0,0,0,0,0,0,0,0
182,2021,25,685,0,0,1,14,0,0,1,0,0,0,0,0
183,2021,25,553,0,0,2,7,0,0,0,0,0,0,0,5
184,2021,24,603,0,0,4,3,0,0,1,0,0,0,1,4
185,2021,24,1128,0,0,1,24,0,0,2,0,0,0,0,3
186,2021,23,597,0,1,2,11,0,0,0,0,0,0,0,1
187,2021,23,537,0,0,0,12,1,0,0,0,19,0,0,6
188,2021,23,360,0,0,2,4,0,0,0,0,11,0,0,6
189,2021,22,317,1,2,2,7,0,0,1,0,0,0,0,1
190,2021,20,271,2,0,1,5,0,0,0,0,0,0,0,0
191,2021,20,431,0,0,0,9,0,0,1,0,0,0,0,4
192,2021,18,510,0,1,0,8,0,0,0,0,0,0,3,0
193,2021,18,378,0,1,1,9,0,0,1,0,0,0,1,6
194,2021,17,293,0,0,1,2,0,0,0,0,0,0,0,1
195,2021,15,131,1,0,0,5,0,0,1,0,0,0,0,1
196,2021,14,353,1,0,0,9,0,0,1,0,0,0,0,3
197,2021,13,367,0,0,2,4,0,0,1,0,0,0,0,1
198,2021,12,114,0,1,1,0,0,0,0,0,0,0,1,0
199,2021,12,242,0,0,0,6,0,0,0,0,0,0,0,4
200,2021,12,222,0,0,1,3,0,0,1,0,0,0,0,2
201,2021,12,199,0,0,0,4,0,0,2,0,0,0,0,0
202,2021,12,359,0,0,3,3,0,0,1,0,0,0,0,0
203,2021,11,127,0,1,0,2,0,0,1,0,0,0,2,0
204,2021,11,180,0,0,1,1,0,0,0,0,6,0,0,2
205,2021,11,252,0,0,1,3,0,0,0,0,0,0,1,0
206,2021,11,186,0,0,1,3,0,0,0,0,0,0,0,0
207,2021,10,154,0,0,1,2,0,0,0,0,7,0,0,2
208,2021,10,103,0,1,0,1,0,0,0,0,0,0,0,0
209,2021,10,237,0,0,0,4,0,0,0,0,0,0,0,1
210,2021,10,101,1,0,0,2,0,0,1,0,0,0,1,0
211,2021,10,79,0,1,0,1,0,0,1,0,0,0,1,0
212,2021,10,84,1,0,0,0,0,0,0,0,0,0,0,0
213,2021,9,174,0,1,0,3,0,0,0,0,0,0,0,0
214,2021,9,68,0,0,0,3,0,0,1,0,0,0,0,0
215,2021,8,94,0,0,0,1,0,0,1,0,0,0,1,0
216,2021,8,201,0,0,0,4,0,0,1,0,0,0,0,1
217,2021,7,82,0,0,0,1,0,0,0,0,0,0,0,0
218,2021,7,202,0,0,0,4,0,0,0,0,0,0,0,1
219,2021,6,55,0,0,0,1,0,0,0,0,0,0,0,0
220,2021,6,146,0,0,1,3,0,0,1,0,0,0,0,1
221,2021,6,32,0,0,0,2,0,0,0,0,0,0,0,0
222,2021,6,32,0,0,0,1,0,0,0,0,0,0,1,0
223,2021,6,104,0,0,0,2,0,0,0,0,0,0,0,0
224,2021,6,84,0,0,0,1,0,0,0,0,0,0,0,0
225,2021,5,72,0,0,0,1,0,0,0,0,0,0,0,0
226,2021,5,81,0,0,0,3,0,0,1,0,0,0,0,0
227,2021,5,48,0,0,0,0,0,0,0,0,0,0,0,0
228,2021,4,14,0,0,0,0,0,0,0,0,0,0,0,0
229,2021,4,124,0,0,0,1,0,0,0,0,0,0,0,0
230,2021,4,141,0,0,0,3,0,0,0,0,0,0,0,0
231,2021,3,90,0,0,0,2,0,0,0,0,1,0,0,2
232,2021,3,131,0,0,0,7,0,0,0,0,0,0,0,0
233,2021,3,26,0,0,0,1,0,0,0,0,0,0,0,0
234,2021,3,24,0,0,0,1,0,0,0,0,0,0,0,0
235,2021,3,48,0,0,0,1,0,0,0,0,0,0,0,0
236,2021,2,18,0,0,0,1,0,0,0,0,0,0,0,0
237,2021,2,43,0,0,0,2,0,0,0,0,0,0,0,0
238,2021,2,12,0,0,0,0,0,0,0,0,0,0,0,0
239,2021,1,81,0,0,0,5,0,0,0,0,0,0,0,1
240,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0
241,2021,1,3,0,0,0,1,0,0,0,0,0,0,0,0
242,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0
243,2021,1,4,0,0,0,0,0,0,0,0,0,0,0,0
244,2021,1,20,0,0,0,0,0,0,0,0,0,0,0,0
245,2021,1,17,0,0,0,1,0,0,0,0,0,0,0,0
246,2021,1,7,0,0,0,0,0,0,0,0,0,0,0,0
247,2021,1,5,0,0,0,0,0,0,0,0,0,0,0,0
248,2021,1,10,0,0,0,1,0,0,0,0,0,0,0,0
249,2021,1,24,0,0,0,0,0,0,0,0,0,0,0,0
251,2018,24,720,0,1,1,14,0,0,2,0,0,0,0,0
252,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2020,1,12,0,0,0,3,0,0,0,0,0,0,0,0
257,2020,103,1719,13,4,7,18,0,2,1,1,0,0,3,1
259,2020,31,606,1,0,1,11,0,0,2,0,0,0,0,6
261,2021,2,23,0,0,0,0,0,0,0,0,0,0,0,0
263,2020,42,1126,0,0,3,18,0,0,3,0,0,1,0,11
267,2018,81,2430,1,4,3,50,0,1,4,0,0,0,0,0
269,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2020,49,995,2,0,3,19,0,0,2,0,0,0,0,10
275,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,2021,37,630,0,4,2,6,0,0,1,0,0,0,8,2
296,2019,9,31,0,1,0,0,0,0,0,0,0,0,0,0
297,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2019,93,2050,4,5,13,17,0,0,1,0,0,0,0,0
307,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2021,28,810,0,1,1,14,0,0,2,0,0,0,4,5
313,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2018,16,360,0,0,1,5,0,0,0,0,11,0,0,0
316,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,2019,29,842,0,0,2,20,0,0,2,0,0,0,0,0
325,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,2021,0,12,0,0,0,0,0,0,1,0,0,0,0,0
335,2018,38,744,0,0,1,10,1,0,0,0,28,0,0,0
337,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
