y,verein,age,mw,datum_mw,x,marker,TM_URL
125000,AFC\x20Eskilstuna,18,\u20AC125Th.,2008-12-10,1228863600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
100000,AFC\x20Eskilstuna,19,\u20AC100Th.,2009-06-21,1245535200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
75000,AFC\x20Eskilstuna,19,\u20AC75Th.,2010-03-07,1267916400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
125000,AFC\x20Eskilstuna,20,\u20AC125Th.,2010-08-30,1283119200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
200000,Atvidabergs\x20FF,21,\u20AC200Th.,2011-06-24,1308866400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F6139.png\\x3Flm\\x3D1414431794\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
500000,KAA\x20Gent,22,\u20AC500Th.,2012-09-18,1347919200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F157_1405430382.png\\x3Flm\\x3D1405430382\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,Malm\u00F6\x20FF,23,\u20AC1.00m,2013-08-07,1375826400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,Malm\u00F6\x20FF,24,\u20AC1.00m,2014-06-24,1403560800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
800000,Guizhou\x20Renhe,24,\u20AC800Th.,2015-01-28,1422399600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17250_1401128927.png\\x3Flm\\x3D1401128923\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
550000,Guizhou\x20Renhe,25,\u20AC550Th.,2015-06-05,1433455200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17250_1401128927.png\\x3Flm\\x3D1401128923\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
600000,Br\u00F6ndby\x20IF,25,\u20AC600Th.,2015-09-02,1441144800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F206.png\\x3Flm\\x3D1518117616\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
600000,Br\u00F6ndby\x20IF,25,\u20AC600Th.,2016-01-21,1453330800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F206.png\\x3Flm\\x3D1518117616\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
500000,Djurg\u00E5rdens\x20IF,26,\u20AC500Th.,2016-07-01,1467324000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
600000,Djurg\u00E5rdens\x20IF,26,\u20AC600Th.,2016-12-11,1481410800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
900000,Djurg\u00E5rdens\x20IF,27,\u20AC900Th.,2017-06-20,1497909600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1100000,Djurg\u00E5rdens\x20IF,27,\u20AC1.10m,2017-11-17,1510873200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1200000,San\x20Jose\x20Earthquakes,27,\u20AC1.20m,2018-03-14,1520982000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1200000,San\x20Jose\x20Earthquakes,28,\u20AC1.20m,2018-05-02,1525212000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,San\x20Jose\x20Earthquakes,28,\u20AC1.00m,2018-12-15,1544828400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,San\x20Jose\x20Earthquakes,29,\u20AC1.00m,2019-05-27,1558908000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1200000,San\x20Jose\x20Earthquakes,29,\u20AC1.20m,2019-11-30,1575068400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
950000,San\x20Jose\x20Earthquakes,30,\u20AC950Th.,2020-04-08,1586296800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F218.png\\x3Flm\\x3D1410197504\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
800000,Djurg\u00E5rdens\x20IF,30,\u20AC800Th.,2020-12-10,1607554800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
800000,Djurg\u00E5rdens\x20IF,31,\u20AC800Th.,2021-06-09,1623189600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,Djurg\u00E5rdens\x20IF,31,\u20AC1.00m,2021-09-17,1631829600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1500000,Djurg\u00E5rdens\x20IF,31,\u20AC1.50m,2021-12-17,1639695600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1044.png\\x3Flm\\x3D1584290320\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
300000,Odds\x20BK,21,\u20AC300Th.,2015-08-19,1439935200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1058_1579446219.png\\x3Flm\\x3D1579446219\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
400000,Odds\x20BK,22,\u20AC400Th.,2015-12-27,1451170800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1058_1579446219.png\\x3Flm\\x3D1579446219\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
400000,Odds\x20BK,23,\u20AC400Th.,2016-12-18,1482015600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1058_1579446219.png\\x3Flm\\x3D1579446219\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
300000,Odds\x20BK,24,\u20AC300Th.,2017-12-23,1513983600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F1058_1579446219.png\\x3Flm\\x3D1579446219\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
300000,Dalkurd\x20FF,24,\u20AC300Th.,2018-06-20,1529445600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F23302.png\\x3Flm\\x3D1411063565\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
300000,GIF\x20Sundsvall,25,\u20AC300Th.,2019-01-16,1547593200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2843.png\\x3Flm\\x3D1415700993\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
500000,GIF\x20Sundsvall,25,\u20AC500Th.,2019-06-28,1561672800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2843.png\\x3Flm\\x3D1415700993\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
300000,GIF\x20Sundsvall,26,\u20AC300Th.,2019-11-20,1574204400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2843.png\\x3Flm\\x3D1415700993\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
250000,GIF\x20Sundsvall,27,\u20AC250Th.,2020-10-25,1603576800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2843.png\\x3Flm\\x3D1415700993\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
500000,Kalmar\x20FF,27,\u20AC500Th.,2021-06-09,1623189600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3654.png\\x3Flm\\x3D1409382827\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
700000,Kalmar\x20FF,28,\u20AC700Th.,2021-09-17,1631829600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3654.png\\x3Flm\\x3D1409382827\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
900000,Kalmar\x20FF,28,\u20AC900Th.,2021-12-17,1639695600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3654.png\\x3Flm\\x3D1409382827\\x29'},https://www.transfermarkt.com/oliver-berg/profil/spieler/226118
0,Kristianstad\x20FC,20,\x2D,2014-08-16,1408140000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17930.png\\x3Flm\\x3D1582897751\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
0,Kristianstad\x20FC,20,\x2D,2015-04-01,1427839200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17930.png\\x3Flm\\x3D1582897751\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
0,Mj\u00E4llby\x20AIF,21,\x2D,2016-06-22,1466546400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
0,Mj\u00E4llby\x20AIF,23,\x2D,2018-04-05,1522879200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
400000,Mj\u00E4llby\x20AIF,26,\u20AC400Th.,2020-08-05,1596578400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
500000,Mj\u00E4llby\x20AIF,26,\u20AC500Th.,2020-12-10,1607554800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
500000,Mj\u00E4llby\x20AIF,26,\u20AC500Th.,2021-06-09,1623189600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
700000,Mj\u00E4llby\x20AIF,27,\u20AC700Th.,2021-12-17,1639695600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2719.png\\x3Flm\\x3D1414431429\\x29'},https://www.transfermarkt.com/joel-nilsson/profil/spieler/223912
300000,FC\x20Kolkheti\x2D1913\x20Poti,20,\u20AC300Th.,2017-04-05,1491343200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F28971.png\\x3Flm\\x3D1420654467\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
250000,FC\x20Kolkheti\x2D1913\x20Poti,20,\u20AC250Th.,2017-08-01,1501538400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F28971.png\\x3Flm\\x3D1420654467\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
200000,FC\x20Kolkheti\x2D1913\x20Poti,21,\u20AC200Th.,2017-12-08,1512687600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F28971.png\\x3Flm\\x3D1420654467\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
150000,Vasalunds\x20IF,22,\u20AC150Th.,2019-06-18,1560808800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F2283.png\\x3Flm\\x3D1461965314\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
100000,AIK\x20Solna,23,\u20AC100Th.,2020-08-05,1596578400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F272.png\\x3Flm\\x3D1495472591\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
100000,AIK\x20Solna,24,\u20AC100Th.,2020-12-10,1607554800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F272.png\\x3Flm\\x3D1495472591\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
800000,AIK\x20Solna,24,\u20AC800Th.,2021-06-09,1623189600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F272.png\\x3Flm\\x3D1495472591\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
1000000,AIK\x20Solna,24,\u20AC1.00m,2021-09-17,1631829600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F272.png\\x3Flm\\x3D1495472591\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
1500000,AIK\x20Solna,25,\u20AC1.50m,2021-12-17,1639695600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F272.png\\x3Flm\\x3D1495472591\\x29'},https://www.transfermarkt.com/erick-otieno/profil/spieler/442118
75000,Utsiktens\x20BK,19,\u20AC75Th.,2015-08-16,1439676000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F13653.png\\x3Flm\\x3D1461965079\\x29'},https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324
0,Karlstad\x20BK,22,\x2D,2018-04-05,1522879200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F23738.png\\x3Flm\\x3D1459449572\\x29'},https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324
500000,Degerfors\x20IF,24,\u20AC500Th.,2020-10-25,1603576800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3641.png\\x3Flm\\x3D1525078982\\x29'},https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324
700000,Degerfors\x20IF,25,\u20AC700Th.,2021-06-09,1623189600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3641.png\\x3Flm\\x3D1525078982\\x29'},https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324
1000000,Degerfors\x20IF,25,\u20AC1.00m,2021-12-17,1639695600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F3641.png\\x3Flm\\x3D1525078982\\x29'},https://www.transfermarkt.com/victor-edvardsen/profil/spieler/265324
300000,IFK\x20G\u00F6teborg,19,\u20AC300Th.,2009-02-10,1234220400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
200000,IFK\x20G\u00F6teborg,21,\u20AC200Th.,2010-07-15,1279144800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
250000,IFK\x20G\u00F6teborg,21,\u20AC250Th.,2010-12-07,1291676400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,IFK\x20G\u00F6teborg,21,\u20AC500Th.,2011-05-30,1306706400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
600000,IFK\x20G\u00F6teborg,22,\u20AC600Th.,2011-11-21,1321830000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
1250000,Ajax\x20Amsterdam,23,\u20AC1.25m,2012-10-09,1349733600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F610.png\\x3Flm\\x3D1458894971\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
900000,Ajax\x20Amsterdam,23,\u20AC900Th.,2013-05-28,1369692000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F610.png\\x3Flm\\x3D1458894971\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
600000,Ajax\x20Amsterdam,24,\u20AC600Th.,2014-02-11,1392073200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F610.png\\x3Flm\\x3D1458894971\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Ajax\x20Amsterdam,25,\u20AC500Th.,2014-08-11,1407708000000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F610.png\\x3Flm\\x3D1458894971\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Malm\u00F6\x20FF,25,\u20AC500Th.,2015-04-11,1428703200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Malm\u00F6\x20FF,25,\u20AC500Th.,2015-06-14,1434232800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Malm\u00F6\x20FF,26,\u20AC500Th.,2015-11-29,1448751600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Malm\u00F6\x20FF,26,\u20AC500Th.,2016-06-17,1466114400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
300000,Malm\u00F6\x20FF,27,\u20AC300Th.,2016-12-11,1481410800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
200000,Malm\u00F6\x20FF,27,\u20AC200Th.,2017-06-20,1497909600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
400000,Aarhus\x20GF,28,\u20AC400Th.,2017-12-18,1513551600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F678.png\\x3Flm\\x3D1518117578\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Aarhus\x20GF,28,\u20AC500Th.,2018-06-02,1527890400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F678.png\\x3Flm\\x3D1518117578\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
500000,Aarhus\x20GF,29,\u20AC500Th.,2018-12-21,1545346800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F678.png\\x3Flm\\x3D1518117578\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
600000,Aarhus\x20GF,29,\u20AC600Th.,2019-06-08,1559944800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F678.png\\x3Flm\\x3D1518117578\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
600000,IFK\x20G\u00F6teborg,30,\u20AC600Th.,2019-11-20,1574204400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
475000,IFK\x20G\u00F6teborg,30,\u20AC475Th.,2020-04-08,1586296800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F801_1604213452.png\\x3Flm\\x3D1604213452\\x29'},https://www.transfermarkt.com/tobias-sana/profil/spieler/75901
